Prefix,Assignment,Tutorial,Midterm,TakeHome,Final
5,57.14,34.09,64.38,51.48,52.5
8,95.05,105.49,67.5,99.07,68.33
8,83.7,83.17,,63.15,48.89
7,,,49.38,105.93,80.56
8,91.32,93.64,95,107.41,73.89
7,95,92.58,93.12,97.78,68.06
8,95.05,102.99,56.25,99.07,50
7,72.85,86.85,60,,56.11
8,84.26,93.1,47.5,18.52,50.83
7,90.1,97.55,51.25,88.89,63.61
7,80.44,90.2,75,91.48,39.72
6,,80.6,,,77.5
8,97.16,103.71,72.5,93.52,63.33
7,91.28,83.53,81.25,99.81,92.22
8,84.8,89.08,44.38,16.91,35.83
7,93.83,95.43,88.12,,90
8,,89.08,47.5,16.91,53.33
4,92.01,102.52,38.75,86.11,49.17
8,55.14,81.85,75,,62.5
8,93.04,,79.38,83.33,91.11
8,63.4,86.21,63.12,72.78,
8,75.27,97.52,63.12,61.11,66.11
8,63.78,76.21,39.38,42.22,34.44
7,80.44,90.2,46.25,91.48,72.22
7,53.36,82.01,74.38,102.59,56.39
6,91.28,95.24,82.5,97.59,92.78
8,82.45,86.65,93.12,85.56,89.17
8,75.27,86.67,69.38,,88.89
8,91.32,94.89,76.25,107.41,85.56
7,91.62,65.18,71.88,90,45.56
7,98.58,102.46,67.5,97.59,63.33
7,86.26,88.57,70,87.59,55
8,67.29,95.64,48.12,72.22,43.33
7,98.58,91.03,101.25,104.26,107.78
8,85.42,95.67,56.25,103.52,64.72
5,88.09,63.39,74.38,93.7,50.83
6,95.05,70.24,52.5,52.41,47.78
7,89.89,57.97,32.5,85.19,51.67
6,90.74,89.64,61.25,90,
7,95,94.36,89.38,100.93,85
6,28.14,58.51,72.5,53.7,68.33
7,95.14,82.67,110,89.81,90.83
7,92.01,112.58,86.25,86.11,83.33
7,86.26,74.66,85,64.07,82.22
6,,34.09,66.88,51.48,55.83
7,93.83,57.32,28.12,77.96,45.56
8,68.95,65.11,44.38,57.41,65.28
8,85.01,98.47,91.25,83.33,72.22
8,95.9,99.99,95.62,105.56,102.22
8,92.46,95.75,61.88,83.33,48.89
8,96.73,88.11,71.88,97.41,65.56
8,83.7,83.17,60.62,63.15,57.78
7,95.14,94.01,99.38,100,95
7,98.58,88.3,90.62,100.93,99.17
8,71.79,102.87,54.37,21.53,36.11
8,71.79,101.68,75,21.53,49.44
8,87.93,106.53,37.5,97.41,28.06
8,87.93,108.97,28.75,87.96,47.78
8,68.95,65.11,40,57.41,78.89
7,72.85,86.85,41.25,60.37,46.67
8,71.79,102.87,41.88,24.77,
8,92.02,97.76,46.25,47.22,60.56
7,90.33,87.56,68.75,77.96,58.33
7,95,94.36,90.62,100.93,101.11
7,91.28,108.71,96.25,99.81,88.89
8,97,103.02,93.12,106.48,94.44
8,93.01,104.18,,96.85,67.22
8,92.02,100.58,54.37,63.89,63.89
7,100.83,105.57,101.25,104.44,108.89
8,80.53,92.8,51.25,72.78,66.67
8,90.98,97.55,86.25,88.89,90
8,93.59,103.83,92.5,96.85,87.22
8,97.33,100.42,69.38,102.59,83.06
7,,91.31,63.12,83.33,75.56
8,84.26,96.66,52.5,83.33,50
7,93.83,,106.25,94.44,102.78
8,75.27,86.67,70,71.85,80
8,92.02,100.58,73.12,63.89,65.28
8,97.16,103.71,83.75,95.93,78.89
8,66.17,93.68,71.88,42.22,61.39
8,81.22,91.95,79.38,105.93,90
7,74.29,65.7,78.75,103.52,55
8,97.33,106.74,76.88,108.89,83.89
4,86.86,62.64,92.5,85.19,62.78
6,95.6,61.4,64.38,99.81,42.78
4,87.93,99.47,53.12,9999,61.11
6,98.49,95.43,42.5,9999,39.44
7,74.35,92.93,86.25,9999,73.89
7,86.29,88.81,83.12,9999,75.83
8,97,100.52,64.38,9999,58.61
8,97.33,106.74,81.25,9999,71.11
8,96.41,103.71,56.25,9999,66.39
7,95.6,82.28,76.88,108.33,78.33
8,87.52,91.58,56.25,71.85,85
8,,103.71,45,93.52,61.94
7,,80.54,41.25,93.7,39.72
8,89.94,102.77,87.5,90.74,87.78
7,95.6,76.13,66.25,99.81,85.56
8,63.4,97.37,73.12,72.78,77.22
