Order Line,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Product ID,Sales,Quantity,Discount,Profit
1,CA-2016-152156,11/8/2016,11/11/2016,Second Class,CG-12520,FUR-BO-10001798,261.96,2,0.00,41.91
2,CA-2016-152156,11/8/2016,11/11/2016,Second Class,CG-12520,FUR-CH-10000454,731.94,3,0.00,219.58
3,CA-2016-138688,6/12/2016,6/16/2016,Second Class,DV-13045,OFF-LA-10000240,14.62,2,0.00,6.87
4,US-2015-108966,10/11/2015,10/18/2015,Standard Class,SO-20335,FUR-TA-10000577,957.58,5,0.45,-383.03
5,US-2015-108966,10/11/2015,10/18/2015,Standard Class,SO-20335,OFF-ST-10000760,22.37,2,0.20,2.52
6,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,FUR-FU-10001487,48.86,7,0.00,14.17
7,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,OFF-AR-10002833,7.28,4,0.00,1.97
8,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,TEC-PH-10002275,907.15,6,0.20,90.72
9,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,OFF-BI-10003910,18.50,3,0.20,5.78
10,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,OFF-AP-10002892,114.90,5,0.00,34.47
11,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,FUR-TA-10001539,1706.18,9,0.20,85.31
12,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,TEC-PH-10002033,911.42,4,0.20,68.36
13,CA-2017-114412,4/15/2017,4/20/2017,Standard Class,AA-10480,OFF-PA-10002365,15.55,3,0.20,5.44
14,CA-2016-161389,12/5/2016,12/10/2016,Standard Class,IM-15070,OFF-BI-10003656,407.98,3,0.20,132.59
15,US-2015-118983,11/22/2015,11/26/2015,Standard Class,HP-14815,OFF-AP-10002311,68.81,5,0.80,-123.86
16,US-2015-118983,11/22/2015,11/26/2015,Standard Class,HP-14815,OFF-BI-10000756,2.54,3,0.80,-3.82
17,CA-2014-105893,11/11/2014,11/18/2014,Standard Class,PK-19075,OFF-ST-10004186,665.88,6,0.00,13.32
18,CA-2014-167164,5/13/2014,5/15/2014,Second Class,AG-10270,OFF-ST-10000107,55.50,2,0.00,9.99
19,CA-2014-143336,8/27/2014,9/1/2014,Second Class,ZD-21925,OFF-AR-10003056,8.56,2,0.00,2.48
20,CA-2014-143336,8/27/2014,9/1/2014,Second Class,ZD-21925,TEC-PH-10001949,213.48,3,0.20,16.01
21,CA-2014-143336,8/27/2014,9/1/2014,Second Class,ZD-21925,OFF-BI-10002215,22.72,4,0.20,7.38
22,CA-2016-137330,12/9/2016,12/13/2016,Standard Class,KB-16585,OFF-AR-10000246,19.46,7,0.00,5.06
23,CA-2016-137330,12/9/2016,12/13/2016,Standard Class,KB-16585,OFF-AP-10001492,60.34,7,0.00,15.69
24,US-2017-156909,7/16/2017,7/18/2017,Second Class,SF-20065,FUR-CH-10002774,71.37,2,0.30,-1.02
25,CA-2015-106320,9/25/2015,9/30/2015,Standard Class,EB-13870,FUR-TA-10000577,1044.63,3,0.00,240.26
26,CA-2016-121755,1/16/2016,1/20/2016,Second Class,EH-13945,OFF-BI-10001634,11.65,2,0.20,4.22
27,CA-2016-121755,1/16/2016,1/20/2016,Second Class,EH-13945,TEC-AC-10003027,90.57,3,0.00,11.77
28,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,FUR-BO-10004834,3083.43,7,0.50,-1665.05
29,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,OFF-BI-10000474,9.62,2,0.70,-7.05
30,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,FUR-FU-10004848,124.20,3,0.20,15.53
31,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,OFF-EN-10001509,3.26,2,0.20,1.10
32,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,OFF-AR-10004042,86.30,6,0.20,9.71
33,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,OFF-BI-10001525,6.86,6,0.70,-5.72
34,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,OFF-AR-10001683,15.76,2,0.20,3.55
35,CA-2017-107727,10/19/2017,10/23/2017,Second Class,MA-17560,OFF-PA-10000249,29.47,3,0.20,9.95
36,CA-2016-117590,12/8/2016,12/10/2016,First Class,GH-14485,TEC-PH-10004977,1097.54,7,0.20,123.47
37,CA-2016-117590,12/8/2016,12/10/2016,First Class,GH-14485,FUR-FU-10003664,190.92,5,0.60,-147.96
38,CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,OFF-EN-10002986,113.33,9,0.20,35.42
39,CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,FUR-BO-10002545,532.40,3,0.32,-46.98
40,CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,FUR-CH-10004218,212.06,3,0.30,-15.15
41,CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,TEC-PH-10000486,371.17,4,0.20,41.76
42,CA-2017-120999,9/10/2017,9/15/2017,Standard Class,LC-16930,TEC-PH-10004093,147.17,4,0.20,16.56
43,CA-2016-101343,7/17/2016,7/22/2016,Standard Class,RA-19885,OFF-ST-10003479,77.88,2,0.00,3.89
44,CA-2017-139619,9/19/2017,9/23/2017,Standard Class,ES-14080,OFF-ST-10003282,95.62,2,0.20,9.56
45,CA-2016-118255,3/11/2016,3/13/2016,First Class,ON-18715,TEC-AC-10000171,45.98,2,0.00,19.77
46,CA-2016-118255,3/11/2016,3/13/2016,First Class,ON-18715,OFF-BI-10003291,17.46,2,0.00,8.21
47,CA-2014-146703,10/20/2014,10/25/2014,Second Class,PO-18865,OFF-ST-10001713,211.96,4,0.00,8.48
48,CA-2016-169194,6/20/2016,6/25/2016,Standard Class,LH-16900,TEC-AC-10002167,45.00,3,0.00,4.95
49,CA-2016-169194,6/20/2016,6/25/2016,Standard Class,LH-16900,TEC-PH-10003988,21.80,2,0.00,6.10
50,CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,OFF-BI-10004410,38.22,6,0.00,17.96
51,CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,OFF-LA-10002762,75.18,6,0.00,35.33
52,CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,FUR-FU-10001706,6.16,2,0.00,2.96
53,CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,FUR-CH-10003061,89.99,1,0.00,17.10
54,CA-2016-105816,12/11/2016,12/17/2016,Standard Class,JM-15265,OFF-FA-10000304,15.26,7,0.00,6.26
55,CA-2016-105816,12/11/2016,12/17/2016,Standard Class,JM-15265,TEC-PH-10002447,1029.95,5,0.00,298.69
56,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,OFF-ST-10000604,208.56,6,0.00,52.14
57,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,OFF-PA-10001569,32.40,5,0.00,15.55
58,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,FUR-CH-10003968,319.41,5,0.10,7.10
59,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,OFF-PA-10000587,14.56,2,0.00,6.99
60,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,TEC-AC-10002167,30.00,2,0.00,3.30
61,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,OFF-BI-10001460,48.48,4,0.20,16.36
62,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,OFF-AR-10001868,1.68,1,0.00,0.84
63,CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,TEC-AC-10004633,13.98,2,0.00,6.15
64,CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,OFF-BI-10001078,25.82,6,0.20,9.36
65,CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,OFF-PA-10003892,146.73,3,0.00,68.96
66,CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,FUR-FU-10000397,79.76,4,0.00,22.33
67,US-2015-164175,4/30/2015,5/5/2015,Standard Class,PS-18970,FUR-CH-10001146,213.12,5,0.30,-15.22
68,CA-2014-106376,12/5/2014,12/10/2014,Standard Class,BS-11590,OFF-AR-10002671,1113.02,8,0.20,111.30
69,CA-2014-106376,12/5/2014,12/10/2014,Standard Class,BS-11590,TEC-PH-10002726,167.97,4,0.20,62.99
70,CA-2016-119823,6/4/2016,6/6/2016,First Class,KD-16270,OFF-PA-10000482,75.88,2,0.00,35.66
71,CA-2016-106075,9/18/2016,9/23/2016,Standard Class,HM-14980,OFF-BI-10004654,4.62,1,0.20,1.73
72,CA-2017-114440,9/14/2017,9/17/2017,Second Class,TB-21520,OFF-PA-10004675,19.05,3,0.00,8.76
73,US-2015-134026,4/26/2015,5/2/2015,Standard Class,JE-15745,FUR-CH-10000513,831.94,8,0.20,-114.39
74,US-2015-134026,4/26/2015,5/2/2015,Standard Class,JE-15745,FUR-FU-10003708,97.04,2,0.20,1.21
75,US-2015-134026,4/26/2015,5/2/2015,Standard Class,JE-15745,OFF-ST-10004123,72.78,1,0.20,-18.20
76,US-2017-118038,12/9/2017,12/11/2017,First Class,KB-16600,OFF-BI-10004182,1.25,3,0.80,-1.93
77,US-2017-118038,12/9/2017,12/11/2017,First Class,KB-16600,FUR-FU-10000260,9.71,3,0.60,-5.82
78,US-2017-118038,12/9/2017,12/11/2017,First Class,KB-16600,OFF-ST-10000615,27.24,3,0.20,2.72
79,US-2014-147606,11/26/2014,12/1/2014,Second Class,JE-15745,FUR-FU-10003194,19.30,5,0.60,-14.48
80,CA-2016-127208,6/12/2016,6/15/2016,First Class,SC-20770,OFF-AP-10002118,208.16,1,0.00,56.20
81,CA-2016-127208,6/12/2016,6/15/2016,First Class,SC-20770,OFF-BI-10002309,16.74,3,0.00,8.04
82,CA-2014-139451,10/12/2014,10/16/2014,Standard Class,DN-13690,OFF-AR-10002053,14.90,5,0.00,4.17
83,CA-2014-139451,10/12/2014,10/16/2014,Standard Class,DN-13690,OFF-ST-10002370,21.39,1,0.00,6.20
