Year,Film,Audience,IMDB
1971,Duel,83%,7.7
1974,The Sugarland Express,65%,6.8
1975,Jaws,90%,8
1977,Close Encounters of the Third Kind,85%,7.7
1979,1941,48%,5.8
1981,Raiders of the Lost Ark,96%,8.5
1982,E.T. the Extra-Terrestrial,72%,7.9
1983,Twilight Zone: The Movie,55%,6.5
1984,Indiana Jones and the Temple of Doom,81%,7.6
1985,The Color Purple,94%,7.8
1987,Empire of the Sun,90%,7.8
1989,Always,60%,6.4
1989,Indiana Jones and the Last Crusade,94%,8.3
1991,Hook,76%,6.7
1993,Jurassic Park,91%,8.1
1993,Schindler's List,97%,8.9
1997,The Lost World: Jurassic Park,51%,6.5
1997,Amistad,79%,7.3
1998,Saving Private Ryan,95%,8.6
2001,A.I. Artificial Intelligence,64%,7.1
2002,Minority Report,80%,7.7
2002,Catch Me If You Can,89%,8.1
2004,The Terminal,73%,7.3
2005,War of the Worlds,42%,6.5
2005,Munich,83%,7.6
2008,Indiana Jones and the Kingdom of the Crystal Skull,53%,6.2
2011,The Adventures of Tintin,74%,7.4
2011,War Horse,74%,7.2
2012,Lincoln,80%,7.2
2015,Bridge of Spies,87%,7.6
2016,The BFG,57%,6.4
2017,The Post,73%,7.2
2018,Ready Player One,79%,7.8
